index_x,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Max_Year,Max,Mean,index_y,OBJECTID,NAME10,GEOID10,COUNTY,COUNTYFP10,POP10,MEAN_2011_2017
105,Coplin,0,0,0,0,0,0,0,0,0,0,2008,0,0,106,292,Coplin,2300714205,Franklin,7,166,0
106,Corinna,0,,45.5,0,0,0,46.1,0,0,92.8,2017,92.8,20.48888889,107,19,Corinna,2301914310,Penobscot,19,2198,19.84285714
107,Corinth,0,,0,0,0,33.8,69.7,0,34.8,0,2014,69.7,15.36666667,108,20,Corinth,2301914380,Penobscot,19,2878,19.75714286
108,Cornish,,,,,,,700.3,,,,2014,700.3,700.3,109,258,Cornish,2303114485,York,31,1403,700.3
109,Cornville,0,0,0,0,0,0,0,0,,,2008,0,0,110,303,Cornville,2302514555,Somerset,25,1314,0
110,Cranberry Isles,0,0,0,0,0,0,0,0,0,0,2008,0,0,111,175,Cranberry Isles,2300914905,Hancock,9,141,0
111,Crawford,,0,,0,0,0,0,0,0,0,2009,0,0,112,66,Crawford,2302914940,Washington,29,105,0
112,Criehaven,,,,,,,,,,,,,,113,444,Criehaven,2301315125,Knox,13,1,0
113,Crystal,,,,,,,0,,0,,2014,0,0,114,83,Crystal,2300315395,Aroostook,3,269,0
114,Cumberland,224.1,191.1,138.7,176.8,122,202.5,212,195.9,155.7,155.7,2008,224.1,177.45,115,499,Cumberland,2300515430,Cumberland,5,7211,174.3714286
115,Cushing,,,,,388.9,,,,,,2012,388.9,388.9,116,445,Cushing,2301315780,Knox,13,1534,388.9
116,Cutler,,0,,0,0,0,,0,,0,2009,0,0,117,67,Cutler,2302915920,Washington,29,507,0
117,Cyr,,,,,,,0,,0,0,2014,0,0,118,84,Cyr,2300315990,Aroostook,3,103,0
118,Dallas,0,0,0,0,0,0,0,0,0,0,2008,0,0,119,293,Dallas,2300716165,Franklin,7,309,0
119,Damariscotta,,142.1,270.5,136.9,281.7,281.7,370.7,48,448,313.6,2016,448,254.8,120,230,Damariscotta,2301516235,Lincoln,15,2218,268.6571429
120,Danforth,,0,,0,0,0,0,0,0,0,2009,0,0,121,68,Danforth,2302916410,Washington,29,589,0
121,Dayton,47.3,149.3,,,,,,192.8,49,49,2015,192.8,97.48,122,259,Dayton,2303116725,York,31,1965,96.93333333
122,Deblois,,0,,0,0,0,0,0,0,0,2009,0,0,123,69,Deblois,2302916865,Washington,29,57,0
123,Dedham,0,0,,,0,,,0,,,2008,0,0,124,176,Dedham,2300916935,Hancock,9,1681,0
124,Deer Isle,0,,0,,353.7,1032,463.9,414.9,777.6,1088.6,2017,1088.6,516.3375,125,177,Deer Isle,2300917145,Hancock,9,1975,688.45
125,Denmark,,,0,,,,,,0,,2010,0,0,126,355,Denmark,2301717250,Oxford,17,1148,0
126,Dennistown,,,,,,,,,,,,,,127,304,Dennistown,2302517285,Somerset,25,33,0
127,Dennysville,,0,,0,0,0,0,0,0,0,2009,0,0,128,70,Dennysville,2302917355,Washington,29,342,0
128,Detroit,0,0,0,0,0,,0,0,,,2008,0,0,129,305,Detroit,2302517460,Somerset,25,852,0
129,Dexter,27,,0,0,0,78.3,0,0,53,106,2017,106,29.36666667,130,21,Dexter,2301917530,Penobscot,19,3895,33.9
130,Dixfield,0,0,39.2,40,0,0,0,40.7,40.7,81.5,2017,81.5,24.21,131,356,Dixfield,2301717740,Oxford,17,2550,28.98571429
131,Dixmont,0,,0,,0,,,,,,2008,0,0,132,22,Dixmont,2301917950,Penobscot,19,1181,0
132,Dover-Foxcroft,,,,,,,,,0,0,2016,0,0,133,414,Dover-Foxcroft,2302118195,Piscataquis,21,4213,0
133,Dresden,410.1,,,358.4,,418.4,,,,,2013,418.4,395.6333333,134,231,Dresden,2301518475,Lincoln,15,1672,388.4
134,Drew,0,,,,,,,,,,2008,0,0,135,23,Drew,2301918580,Penobscot,19,46,0
135,Durham,77.8,103.5,129.9,182.7,310.6,180.3,307.9,231.7,280.9,178.8,2012,310.6,198.41,136,451,Durham,2300119105,Androscoggin,1,3848,238.9857143
136,Dyer Brook,,,,,,,0,,0,0,2014,0,0,137,85,Dyer Brook,2300319210,Aroostook,3,213,0
137,Eagle Lake,,,,,,,0,,0,0,2014,0,0,138,97,Eagle Lake,2300319420,Aroostook,3,864,0
138,East Central Franklin,0,0,0,0,0,0,0,0,0,0,2008,0,0,139,294,East Central Franklin,2300719865,Franklin,7,808,0
139,East Central Penobscot,0,,0,0,0,0,0,0,0,0,2008,0,0,140,24,East Central Penobscot,2301919868,Penobscot,19,343,0
140,East Central Washington,,0,,0,0,0,0,0,0,0,2009,0,0,141,71,East Central Washington,2302919870,Washington,29,728,0
141,East Hancock,0,0,0,0,0,0,0,0,0,0,2008,0,0,142,179,East Hancock,2300920405,Hancock,9,94,0
142,East Machias,,,,,,,,454.9,,,2015,454.9,454.9,143,72,East Machias,2302920960,Washington,29,1368,454.9
143,East Millinocket,0,,,,0,0,0,0,0,,2008,0,0,144,25,East Millinocket,2301921030,Penobscot,19,1723,0
144,Eastbrook,0,0,0,0,0,0,0,0,0,0,2008,0,0,145,178,Eastbrook,2300919770,Hancock,9,423,0
145,Easton,,,,,,,0,,0,0,2014,0,0,146,98,Easton,2300321380,Aroostook,3,1287,0
146,Eastport,,0,,0,0,0,0,0,0,,2009,0,0,147,73,Eastport,2302921730,Washington,29,1331,0
147,Eddington,0,,0,44.5,44.8,44.1,0,91.3,91.1,227.8,2017,227.8,60.4,148,26,Eddington,2301922535,Penobscot,19,2225,77.65714286
148,Edgecomb,,,,,,,,,,,,,,149,232,Edgecomb,2301522675,Lincoln,15,1249,0
149,Edinburg,0,,0,0,0,0,0,0,0,0,2008,0,0,150,27,Edinburg,2301922710,Penobscot,19,131,0
150,Eliot,239.6,356.8,161.2,128.3,270.4,174.5,285,174.1,173.2,157.4,2009,356.8,212.05,151,260,Eliot,2303122955,York,31,6204,194.7
151,Ellsworth,0,13.3,12.9,0,77.4,89.2,102,165.9,101.4,228.3,2017,228.3,79.04,152,180,Ellsworth,2300923200,Hancock,9,7741,109.1714286
152,Embden,0,0,0,,0,0,0,0,,,2008,0,0,153,306,Embden,2302523410,Somerset,25,939,0
153,Enfield,0,,0,0,0,0,0,0,0,0,2008,0,0,154,28,Enfield,2301923620,Penobscot,19,1607,0
154,Etna,,,0,0,0,0,0,0,,,2010,0,0,155,29,Etna,2301923865,Penobscot,19,1246,0
155,Eustis,0,0,0,0,0,,0,0,0,,2008,0,0,156,295,Eustis,2300724005,Franklin,7,618,0
156,Exeter,0,,0,0,0,0,,0,0,,2008,0,0,157,30,Exeter,2301924110,Penobscot,19,1092,0
157,Fairfield,14.8,58.9,44.5,45.1,,15,,60.4,60.7,197.2,2017,197.2,62.075,158,307,Fairfield,2302524320,Somerset,25,6735,75.68
158,Falmouth,145.2,169.7,71.5,169.3,197.2,105.6,199.4,77.9,149.7,96.8,2014,199.4,138.23,159,500,Falmouth,2300524495,Cumberland,5,11185,142.2714286
159,Farmingdale,138.9,136.4,135.3,67.2,67.7,102.6,67.8,170.5,209.4,209.4,2016,209.4,130.52,160,483,Farmingdale,2301124670,Kennebec,11,2956,127.8
160,Farmington,40.1,51.6,64.4,13.1,13.1,13.1,13.3,67,0,67.4,2017,67.4,34.31,161,296,Farmington,2300724775,Franklin,7,7760,26.71428571
161,Fayette,0,,0,,0,,0,0,,,2008,0,0,162,484,Fayette,2301124950,Kennebec,11,1140,0
163,Fort Fairfield,,,,,,,0,,0,0,2014,0,0,163,99,Fort Fairfield,2300325615,Aroostook,3,3496,0
164,Fort Kent,,,,,,,0,,0,0,2014,0,0,164,100,Fort Kent,2300325755,Aroostook,3,4097,0
165,Frankfort,0,0,,0,0,0,,,0,0,2008,0,0,165,392,Frankfort,2302726280,Waldo,27,1124,0
166,Franklin,0,,0,,0,0,,0,,0,2008,0,0,166,181,Franklin,2300926350,Hancock,9,1483,0
167,Freedom,0,,0,,0,,0,0,,,2008,0,0,167,393,Freedom,2302726420,Waldo,27,719,0
168,Freeport,193.5,201.1,114.2,114.1,217.1,150.8,235.2,187.6,173.4,321.9,2017,321.9,190.89,168,501,Freeport,2300526525,Cumberland,5,7879,200.0142857
169,Frenchboro,,,0,0,0,0,0,0,0,0,2010,0,0,169,182,Frenchboro,2300926595,Hancock,9,61,0
170,Frenchville,,,,,,,,,0,0,2016,0,0,170,101,Frenchville,2300326735,Aroostook,3,1087,0
171,Friendship,0,0,0,0,,,,,,,2008,0,0,171,446,Friendship,2301326805,Knox,13,1152,0
172,Frye Island,,,,,,,,,,,,,,172,514,Frye Island,2300527025,Cumberland,5,5,0
173,Fryeburg,0,59.3,29,86.8,0,117.2,88,58.5,58.1,58.1,2013,117.2,55.5,173,357,Fryeburg,2301726910,Oxford,17,3449,66.67142857
174,Gardiner,131.3,33.6,137.9,104.8,121.7,174.9,69.7,103.5,245.5,245.5,2016,245.5,136.84,174,485,Gardiner,2301127085,Kennebec,11,5800,152.2285714
175,Garfield,,,,,,,0,,0,0,2014,0,0,175,102,Garfield,2300327120,Aroostook,3,81,0
176,Garland,0,,0,,0,0,0,0,,,2008,0,0,176,31,Garland,2301927190,Penobscot,19,1105,0
177,Georgetown,,,,,,,,682.9,782,586.5,2016,782,683.8,177,428,Georgetown,2302327295,Sagadahoc,23,1042,683.8
178,Gilead,0,0,0,0,0,0,0,0,0,0,2008,0,0,178,358,Gilead,2301727505,Oxford,17,209,0
179,Glenburn,0,,0,0,42.9,0,0,43.3,21.5,107.7,2017,107.7,23.93333333,179,32,Glenburn,2301927645,Penobscot,19,4594,30.77142857
180,Glenwood,,,,,,,,,,,,,,180,103,Glenwood,2300327855,Aroostook,3,3,0
181,Gorham,171.6,129.4,146.5,157.4,144.7,143,165.2,98.8,109,137.7,2008,171.6,140.33,181,515,Gorham,2300528240,Cumberland,5,16381,136.5428571
182,Gouldsboro,0,,0,,0,,,,,,2008,0,0,182,183,Gouldsboro,2300928450,Hancock,9,1737,0
183,Grand Isle,,,,,,,0,,0,0,2014,0,0,183,104,Grand Isle,2300328590,Aroostook,3,467,0
184,Grand Lake Stream,,0,,0,0,0,0,0,0,0,2009,0,0,184,74,Grand Lake Stream,2302928660,Washington,29,109,0
185,Gray,92.4,129.2,141.7,101.9,101.7,252.3,200,173.2,221.4,246,2013,252.3,165.98,185,516,Gray,2300528870,Cumberland,5,7761,185.2142857
186,Great Pond,,0,0,0,0,0,0,0,0,0,2009,0,0,186,196,Great Pond,2300928975,Hancock,9,58,0
187,Greenbush,0,,0,0,0,0,0,,,,2008,0,0,187,33,Greenbush,2301929185,Penobscot,19,1491,0
188,Greene,71,46.4,23,114.2,45.5,90.1,112.8,46,137.5,91.6,2016,137.5,77.81,188,452,Greene,2300129255,Androscoggin,1,4350,91.1
189,Greenville,,,,,,,,,,0,2017,0,0,189,415,Greenville,2302129535,Piscataquis,21,1646,0
190,Greenwood,0,0,,0,0,0,0,0,,0,2008,0,0,190,359,Greenwood,2301729710,Oxford,17,830,0
191,Guilford,,,,,,,,,0,,2016,0,0,191,416,Guilford,2302130095,Piscataquis,21,1521,0
192,Hallowell,122.9,82.9,84,85,171.7,172.5,43.2,88.2,129.6,129.6,2013,172.5,110.96,192,486,Hallowell,2301130550,Kennebec,11,2381,117.1142857
193,Hamlin,,,,,,,0,,0,0,2014,0,0,193,105,Hamlin,2300330690,Aroostook,3,219,0
194,Hammond,,,,,,,0,,0,0,2014,0,0,194,116,Hammond,2300330725,Aroostook,3,118,0
195,Hampden,72.3,,0,0,27.5,27.5,54,68.2,164.7,164.7,2016,164.7,64.32222222,195,34,Hampden,2301930795,Penobscot,19,7257,72.37142857
196,Hancock,0,0,0,0,0,0,123.3,82.2,204.3,449.5,2017,449.5,85.93,196,197,Hancock,2300930970,Hancock,9,2394,122.7571429
197,Hanover,0,,0,0,0,0,0,0,0,0,2008,0,0,197,360,Hanover,2301731110,Oxford,17,238,0
198,Harmony,0,0,0,,0,,,0,0,,2008,0,0,198,308,Harmony,2302531355,Somerset,25,939,0
199,Harpswell,38.7,226.3,63.3,126.7,127.7,107.1,84,64.5,215.1,193.6,2009,226.3,124.7,199,517,Harpswell,2300531390,Cumberland,5,4740,131.2428571
200,Harrington,,0,,,0,0,0,0,,,2009,0,0,200,75,Harrington,2302931530,Washington,29,1004,0
201,Harrison,0,37.7,73.3,0,109.9,182.6,108.5,36.6,181.8,72.7,2013,182.6,80.31,201,518,Harrison,2300531600,Cumberland,5,2730,98.87142857
202,Hartford,,,0,0,,0,,,0,,2010,0,0,202,361,Hartford,2301731670,Oxford,17,1185,0
203,Hartland,0,0,0,0,0,0,,,0,,2008,0,0,203,309,Hartland,2302531740,Somerset,25,1782,0
204,Haynesville,,,,,,,0,,0,0,2014,0,0,204,117,Haynesville,2300332195,Aroostook,3,121,0
205,Hebron,,0,0,0,0,,0,,,,2009,0,0,205,362,Hebron,2301732370,Oxford,17,1416,0
206,Hermon,0,,0,0,18,18.1,35.2,17.6,70.9,106.3,2017,106.3,29.56666667,206,5,Hermon,2301932510,Penobscot,19,5416,38.01428571
207,Hersey,,,,,,,0,,0,0,2014,0,0,207,118,Hersey,2300332685,Aroostook,3,83,0
