Location,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,Max_Year,Max,Mean
Indian Twp Res,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Industry,0.0,0.0,0.0,0.0,N/R,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Island Falls,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Isle au Haut,0.0,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,0.0,2008.0,0.0,0.0
Islesboro,1075.3,N/R,N/R,N/R,N/R,6642.7,N/R,N/R,2007.3,7846.7,2017.0,7846.7,4393.0
Jackman,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Jackson,0.0,0.0,0.0,0.0,N/R,0.0,N/R,N/R,0.0,0.0,2008.0,0.0,0.0
Jay,20.7,20.6,20.6,41.4,20.7,103.3,N/R,21.1,N/R,147.8,2017.0,147.8,49.525
Jefferson,78.7,121.0,82.4,410.7,205.4,123.0,407.8,162.5,402.9,241.7,2011.0,410.7,223.60999999999999
Jonesboro,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Jonesport,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,0.0,2009.0,0.0,0.0
