OBJECTID,GEOID10,STATEFP10,COUNTY,COUNTYFP10,COUSUBFP10,COUSUBNS10,POP10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CNECTAFP10,NECTAFP10,NCTADVFP10,ALAND10,AWATER10,SQM,POPDEN10,ACRES,GlobalID,SHAPEarea,SHAPElen
198,2300938180,23,Hancock,009,38180,00582549,1602,Lamoine,Lamoine town,43,T1,G4040,,,,46156835,18766771,25,64.079999999999998,16031,{43E14AF8-EDE7-4338-9BAF-955F54888AD1},64876432.391380637884140,36873.178765462696902
199,2300943430,23,Hancock,009,43430,00582580,513,Mariaville,Mariaville town,43,T1,G4040,,,,100204544,21089877,47,10.914893620000001,29950,{9FCB33AF-B04E-454A-A59C-5B582190CEBC},121204409.935343638062477,63070.263827558766934
200,2300943475,23,Hancock,009,43475,02378263,0,Marshall Island,Marshall Island UT,46,Z3,G4040,,,,4061914,10065974,5,0.000000000000000,3488,{0C6674BA-FBC9-4105-8E7E-4B0AF48188A0},14117118.878788480535150,15109.910164948916645
201,2300947630,23,Hancock,009,47630,00582611,2053,Mount Desert,Mount Desert town,43,T1,G4040,,,,95516927,46610456,55,37.327272729999997,35095,{B1B01FF0-F432-4B7A-B4D1-88DD9579217A},142023747.212933510541916,65558.965110860808636
202,2300953620,23,Hancock,009,53620,00582639,2,Northwest Hancock,Northwest Hancock UT,46,Z3,G4040,,,,105888457,232816,41,0.048780490000000,26203,{CE03A958-788A-4918-99B2-3AEC692658E3},106041780.018174722790718,41137.152250972445472
203,2300955505,23,Hancock,009,55505,00582650,2225,Orland,Orland town,43,T1,G4040,,,,121819871,15095149,53,41.981132080000002,33806,{BDCBF3BD-62A6-4ECE-BD95-CC38043D9AFC},136807761.119944334030151,56860.873249124611903
204,2300955855,23,Hancock,009,55855,00582653,67,Osborn,Osborn town,43,T1,G4040,,,,91174513,7358864,38,1.763157890000000,24331,{959AB1B3-8B39-429D-BB86-B2D61956B65A},98463055.415065601468086,39739.464774014937575
205,2300955890,23,Hancock,009,55890,00582654,672,Otis,Otis town,43,T1,G4040,,,,64152277,9866543,29,23.172413790000000,18277,{3CFBBCF1-EB68-40F2-AA40-E7236361E7D5},73962794.565840646624565,35438.699888938630465
206,2300957920,23,Hancock,009,57920,00582668,1263,Penobscot,Penobscot town,43,T1,G4040,,,,103257063,17299821,47,26.872340430000001,29767,{AE69ADBD-8CE9-468F-B61E-3A53AAF7D9CB},120462104.321216002106667,53819.401549304602668
207,2300967300,23,Hancock,009,67300,00582721,1196,Sedgwick,Sedgwick town,43,T1,G4040,,,,69909382,10552482,31,38.580645160000003,19867,{B62520AC-BBE7-46C1-A1D6-74AD55723980},80399101.641558036208153,49683.634722185233841
208,2301967160,23,Penobscot,019,67160,00582719,35,Seboeis,Seboeis plantation,39,T1,G4040,,,,103631199,4612625,42,0.833333330000000,26726,{0FAB1109-A9DA-413D-8C77-9CA304FCD819},108158309.626234516501427,41415.418868341155758
209,2301973250,23,Penobscot,019,73250,00582741,409,Springfield,Springfield town,43,T1,G4040,,,,99651235,117027,38,10.763157890000000,24636,{945CD48B-AB22-4EDB-AC78-6A93A1CD4EFE},99698960.925448164343834,39789.003997732623247
210,2301973600,23,Penobscot,019,73600,00582743,396,Stacyville,Stacyville town,43,T1,G4040,,,,102374663,14683,40,9.900000000000000,25282,{3007D5DE-D0F0-4C40-8280-21C24D071398},102311377.638428166508675,40489.950791293988004
211,2301974055,23,Penobscot,019,74055,00582746,1202,Stetson,Stetson town,43,T1,G4040,,70750,,90623378,4290010,37,32.486486489999997,23435,{671592DA-9555-4948-8740-2358748577DC},94837676.017425596714020,38931.894323703454575
212,2301978015,23,Penobscot,019,78015,00582771,0,Twombly Ridge,Twombly Ridge UT,46,Z3,G4040,,,,114078395,3149334,45,0.000000000000000,28947,{0586B5F1-59FB-4C50-995F-0108C86AD20E},117143680.021467521786690,43441.045721525311819
213,2301978780,23,Penobscot,019,78780,00582779,1919,Veazie,Veazie town,43,T1,G4040,,70750,,7840953,494437,3,639.666666670000041,2058,{81E93366-AA4A-40AB-A441-88DD3AD00298},8328829.544764960184693,12804.931222430883281
214,2300969750,23,Hancock,009,69750,00582730,274,Sorrento,Sorrento town,43,T1,G4040,,,,10345152,26203295,14,19.571428569999998,9025,{A237FE6C-5D73-408A-9854-F00B99E97C58},36523032.948861919343472,24092.472717630811530
215,2300972865,23,Hancock,009,72865,00582740,1764,Southwest Harbor,Southwest Harbor town,43,T1,G4040,,,,34995603,23767518,23,76.695652170000002,14510,{5D5B8ABF-F8A5-496A-8083-53E2B09EC641},58720395.892618961632252,40858.195507400712813
216,2300974580,23,Hancock,009,74580,00582751,1043,Stonington,Stonington town,43,T1,G4040,,,,25403768,72591569,38,27.447368420000000,24196,{9FD76CEB-9A16-4112-928A-C82206B68F31},97918951.591176345944405,42869.253118330256257
217,2300974965,23,Hancock,009,74965,00582754,1236,Sullivan,Sullivan town,43,T1,G4040,,,,69075607,7640279,30,41.200000000000003,18944,{10C157B1-472F-4825-9C52-3D38D00811AC},76662998.440640196204185,41164.944914450868964
218,2300975280,23,Hancock,009,75280,00582756,1466,Surry,Surry town,43,T1,G4040,,,,95759814,36665080,51,28.745098039999998,32698,{67FACF5E-8DD0-40F9-AE53-8CF292FE92CD},132323924.337894156575203,63970.291395877706236
219,2300975455,23,Hancock,009,75455,00582757,332,Swans Island,Swans Island town,43,T1,G4040,,,,32152745,177148716,81,4.098765430000000,51679,{EC897C8D-D8E0-4303-B757-785203CF2DAC},209139376.076651513576508,73964.543170368488063
162,2300911265,23,Hancock,009,11265,00582396,1366,Castine,Castine town,43,T1,G4040,,,,20149824,31684544,20,68.299999999999997,12798,{FD3220F7-94E5-4971-9CF9-7BA2B5CF06E9},51793202.401330240070820,32803.450190400231804
163,2300911800,23,Hancock,009,11800,00582401,117,Central Hancock,Central Hancock UT,46,Z3,G4040,,,,39466498,2175160,16,7.312500000000000,10282,{72D16217-AF1F-49EF-98AC-10D10B91DAEF},41611087.485789597034454,26723.510099968574650
164,2301937760,23,Penobscot,019,37760,00582546,708,Lagrange,Lagrange town,43,T1,G4040,,70750,,128134266,103529,49,14.448979590000000,31663,{177159BF-3E5D-42FE-8A0D-6142578E4D1D},128135980.474820643663406,47129.731345517888258
165,2301938005,23,Penobscot,019,38005,00582548,105,Lakeville,Lakeville town,43,T1,G4040,,,,151073530,19316990,66,1.590909090000000,42076,{592128DB-B48F-4F42-8F05-0BF907428DF0},170274862.233610719442368,52434.481886051544279
166,2301938530,23,Penobscot,019,38530,00582551,922,Lee,Lee town,43,T1,G4040,,,,100142834,2837964,40,23.050000000000001,25429,{10264ECA-E78B-485D-BC4A-BCC2126C4F22},102906261.789955362677574,40583.434882143148570
167,2301938705,23,Penobscot,019,38705,00582553,2851,Levant,Levant town,43,T1,G4040,,70750,,77850598,28583,30,95.033333330000005,19229,{A2D05266-4EEC-447E-A5F2-EAA67B462556},77816909.243847042322159,39708.209525377002137
168,2301939475,23,Penobscot,019,39475,00582559,5085,Lincoln,Lincoln town,43,T1,G4040,,,,175672555,17652081,75,67.799999999999997,47735,{482D4B53-D076-4AA0-BABC-40E18AC48A08},193178785.250841796398163,59131.920273615738552
169,2301941435,23,Penobscot,019,41435,00582569,358,Lowell,Lowell town,43,T1,G4040,,70750,,99170119,5013004,40,8.949999999999999,25725,{4A3DD49E-6DE7-444B-BE66-155022B04305},104103889.888424277305603,48324.439873882562097
170,2301944270,23,Penobscot,019,44270,00582585,687,Mattawamkeag,Mattawamkeag town,43,T1,G4040,,,,97723165,792879,38,18.078947370000002,24326,{730989CC-EB27-4DDA-ACD9-5E8FDEED8B98},98444312.818032160401344,43082.323943445691839
171,2301944340,23,Penobscot,019,44340,00582586,97,Maxfield,Maxfield town,43,T1,G4040,,70750,,49039355,700472,19,5.105263160000000,12281,{0F5C8CC8-4DDD-4D80-A06A-947B642FAC44},49700499.272226497530937,32046.210985187844926
172,2301945005,23,Penobscot,019,45005,00582590,1349,Medway,Medway town,43,T1,G4040,,,,106196895,358494,41,32.902439020000003,26310,{6458C52E-A184-47DF-8D83-16346DB3222D},106474181.594043716788292,93190.279671453172341
173,2301945670,23,Penobscot,019,45670,00582595,3070,Milford,Milford town,43,T1,G4040,,70750,,118173821,430978,46,66.739130430000003,29285,{36F30C65-8EB4-4380-8FC9-5C3B4ED0C309},118513280.098237439990044,45070.085378259544086
174,2301945810,23,Penobscot,019,45810,00582596,4506,Millinocket,Millinocket town,43,T1,G4040,,,,41307763,5866848,18,250.333333329999988,11648,{DFD3EAF6-E2E9-4AA3-A3DE-C1595BFEBEE7},47137597.376405596733093,32313.076519467766047
175,2300914905,23,Hancock,009,14905,00582423,141,Cranberry Isles,Cranberry Isles town,43,T1,G4040,,,,8207159,109810362,46,3.065217390000000,29142,{D872E6A0-C697-48D8-9840-4A2E4AA9826C},117934795.055774077773094,43430.168009130386054
176,2300916935,23,Hancock,009,16935,00582436,1681,Dedham,Dedham town,43,T1,G4040,,70750,,101852813,13083947,44,38.204545449999998,28379,{2834E14A-F26B-4CBA-B63C-92420733F63C},114847967.859728187322617,49207.287080705820699
177,2300917145,23,Hancock,009,17145,00582437,1975,Deer Isle,Deer Isle town,43,T1,G4040,,,,76980065,243334022,124,15.927419349999999,79089,{38509517-776E-4889-BB0E-E367C8A5A0F6},320062368.431354165077209,94536.489161808800418
178,2300919770,23,Hancock,009,19770,00582452,423,Eastbrook,Eastbrook town,43,T1,G4040,,,,86383237,11123741,38,11.131578950000000,24077,{BB50F422-60DB-4CB8-A893-FDF59B58E1EA},97437883.083755835890770,39465.230597733047034
